category,item,planned_checks,status,attempted,successful,operation_ids,blocker
verb,collect_blocks,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
verb,compare_aoi_signature,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
verb,compare_blocks,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
helper_or_reserved,correlation_cube,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,excluded_placeholder,False,False,,CubeDynamics unavailable after Phase A installation attempt
verb,detect_events,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
verb,diagnostic_panel,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
verb,duration_synchrony,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
verb,exceedance,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
verb,extract,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
helper_or_reserved,fire_derivative,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
helper_or_reserved,fire_panel,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
helper_or_reserved,fire_plot,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
verb,fire_vase_panel,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
helper_or_reserved,fit_model,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,excluded_placeholder,False,False,,CubeDynamics unavailable after Phase A installation attempt
verb,flatten_cube,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
verb,flatten_space,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
verb,landsat8_mpc,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
helper_or_reserved,landsat_ndvi_plot,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
helper_or_reserved,landsat_vis_ndvi,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
verb,mean,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
verb,month_filter,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
verb,ndvi_from_s2,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
verb,occurrence_synchrony,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
verb,overlap,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
verb,plot,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
verb,plot_mean,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
verb,quantile_state,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
helper_or_reserved,rasterize_observations,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
verb,rolling_median_split_synchrony,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
verb,rolling_tail_dep_vs_center,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
verb,severity_synchrony,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
verb,show_cube_lexcube,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
verb,sync_with,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
verb,threshold_state,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
verb,timing_synchrony,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
verb,to_netcdf,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
verb,tubes,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
verb,variance,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
verb,vase,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
verb,vase_demo,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
helper_or_reserved,vase_extract,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
helper_or_reserved,vase_mask,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
verb,zscore,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
public_surface,pipe,composition,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
public_surface,Verb,composition,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
public_surface,Pipe.unwrap,result extraction,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
public_surface,Pipe.explain,inspection,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
public_surface,lazy object preservation,lazy behavior,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
public_surface,project loader returning xarray,custom noun,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
public_surface,factory returning callable,custom verb,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
public_surface,v.apply,custom verb,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
public_surface,source identity and serving revisions,provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
public_surface,list_sources,discovery,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
public_surface,sources,discovery,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
public_surface,describe,discovery,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
scenario,one/two/three-plus stages,,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
scenario,reversed operation order,,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
scenario,reduction then transformation,,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
scenario,spatial plus temporal,,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
scenario,transformation then visualization,,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
scenario,intermediate reuse,,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
scenario,long-pipeline provenance,,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
scenario,lazy materialization,,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
scenario,custom noun with built-in verb,,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
scenario,built-in noun with custom verb,,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
scenario,custom noun with custom verb,,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
scenario,NaN/empty/single-cell inputs,,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
scenario,misspelled dimension/invalid source/argument,,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
scenario,invalid return type,,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
scenario,fixed-seed plausible randomized sequences,,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
proposed_scientific_question,Q-01: How does daily maximum temperature vary across a small Boulder-area grid?,Formulate and execute only after an external artifact is available,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
proposed_scientific_question,Q-02: How does the temporal-mean temperature differ between gridMET and PRISM?,Formulate and execute only after an external artifact is available,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
proposed_scientific_question,Q-03: Are high-temperature days spatially coincident with high vapor-pressure deficit?,Formulate and execute only after an external artifact is available,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
proposed_scientific_question,Q-04: How sensitive is a hot-spell duration summary to the chosen threshold?,Formulate and execute only after an external artifact is available,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
proposed_scientific_question,Q-05: Does averaging over space before anomaly calculation change the interpretation?,Formulate and execute only after an external artifact is available,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
proposed_scientific_question,Q-06: How does a seasonal precipitation total vary between two nearby areas?,Formulate and execute only after an external artifact is available,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
proposed_scientific_question,Q-07: Does an NDVI change coincide with a hot and dry interval?,Formulate and execute only after an external artifact is available,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
proposed_scientific_question,Q-08: Can a user-defined temperature conversion preserve coordinates and units?,Formulate and execute only after an external artifact is available,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
proposed_scientific_question,Q-09: How do short discharge events vary in timing within one station record?,Formulate and execute only after an external artifact is available,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
proposed_scientific_question,Q-10: Can a user bring a local environmental cube through the same analysis pipeline?,Formulate and execute only after an external artifact is available,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
environment_probe,B-001,wheel-only installation including prereleases,completed_probe_blocker_confirmed,True,False,B-001,No external CubeDynamics distribution or installed package
environment_probe,B-002,public pip index discovery,completed_probe_blocker_confirmed,True,False,B-002,No external CubeDynamics distribution or installed package
environment_probe,B-003,public PyPI metadata with connectivity control and GitHub release assets,completed_probe_blocker_confirmed,True,False,B-003,No external CubeDynamics distribution or installed package
environment_probe,B-004,installed distribution metadata and import smoke check,completed_probe_blocker_confirmed,True,False,B-004,No external CubeDynamics distribution or installed package
